ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res,PC_NAME2,myneta PC_NAME_myneta PC_Name,myneta Sno,myneta Candidate,myneta Party,myneta Criminal Case,myneta Education,myneta Education Points,myneta Total Assets,myneta Liabilities
AP,Anakapalli,S01,22,GEN,Anakapalle,Anakapalle,24,Muttamsetti Srinivasa Rao,TDP,1,Illiterate,0,213294327,64899193
BR,Araria,S04,9,GEN,Araria,,35,Taslim Uddin,RJD,4,Literate,5,42368468,1026919
DN,Dadra & Nagar Haveli,U03,1,ST,Dadra & Nagar Haveli,,139,Natubhai G. Patel,BJP,5,5th Pass,5,154760217,62286836
GJ,Surendranagar,S06,9,GEN,Surendranagar,,492,Fatepara Devajibhai Govindbhai,BJP,1,Literate,5,11685000,0
JH,Rajmahal,S27,1,ST,Rajmahal,,431,Vijay Kumar Hansdak,JMM,1,5th Pass,5,6863306,0
MH,Mumbai North,S13,26,GEN,Mumbai North,,354,Gopal Chinayya Shetty,BJP,10,5th Pass,5,95617889,0
RJ,Bharatpur,S20,9,SC,Bharatpur,,93,Bahadur Singh,BJP,0,Literate,5,19142363,1333100
UP,Amroha,S24,9,GEN,Amroha,,23,Kanwar Singh Tanwar,BJP,0,5th Pass,5,1788430770,4036151
UP,Ghosi,S24,70,GEN,Ghosi,,191,Harinarayan Rajbhar,BJP,0,Literate,5,23403964,0
UP,Robertsganj,S24,80,SC,Robertsganj,,443,Chhote Lal,BJP,0,5th Pass,5,3687361,55313
UP,Jhansi,S24,46,GEN,Jhansi,,246,Uma Bharti,BJP,13,5th Pass,5,14376218,0
WB,Medinipur,S25,34,GEN,Medinipur,,346,Sandhya Roy,AITC,0,Literate,5,31031095,0
BR,Munger,S04,28,GEN,Munger,,360,Veena Devi,LJP,0,8th Pass,8,31162836,0
BR,Gaya,S04,38,SC,Gaya,,187,Hari Manjhi,BJP,1,8th Pass,8,10184120,2000000
DD,Daman & Diu,U04,1,GEN,Daman & Diu,,142,Patel Lalubhai Babubhai,BJP,0,8th Pass,8,144931238,1234039
GJ,Sabar Kantha,S06,5,GEN,Sabarkantha,Sabarkantha,445,Rathod Dipsinh Shankarsinh,BJP,0,8th Pass,8,20700176,417585
GJ,Rajkot,S06,10,GEN,Rajkot,,430,Mohanbhai Kalyanjibhai Kundariya,BJP,0,8th Pass,8,39512950,2335530
KL,Chalakudy,S11,11,GEN,Chalakudy,,115,Innocent,IND,0,8th Pass,8,54474761,1303000
MH,Maval,S13,33,GEN,Maval,,341,Barne Shrirang Chandu,SHS,2,8th Pass,8,665047926,11799786
PB,Khadoor Sahib,S19,3,GEN,Khadoor Sahib,,281,Ranjit Singh Brahmpura,SAD,0,8th Pass,8,177814755,4200000
RJ,Banswara,S20,20,ST,Banswara,,65,Manshankar Ninama,BJP,0,8th Pass,8,4040285,870146
AP,Eluru,S01,27,GEN,Eluru,,167,Venkateswara Rao Maganti,TDP,2,10th Pass,10,129394729,55294433
AP,Kurnool,S01,35,GEN,Kurnool,,306,Butta Renuka,Yuvajana Sramika Rythu Congress Party,1,10th Pass,10,2426240513,312279927
AP,Vizianagaram,S01,20,GEN,Vizianagaram,,536,Ashok Gajapathi Raju Pusapati,TDP,0,10th Pass,10,39054905,
AP,Vijayawada,S01,29,GEN,Vijayawada,,532,Srinivas Kesineni,TDP,3,10th Pass,10,1284122669,715462989
AS,Dibrugarh,S03,13,GEN,Dibrugarh,,159,Rameshwar Teli,BJP,0,10th Pass,10,977943,0
BR,Valmiki Nagar,S04,1,GEN,Valmiki Nagar,,527,Satish Dubey,BJP,3,10th Pass,10,6061576,626789
BR,Samastipur,S04,23,SC,Samastipur,,450,Ram Chandra Paswan,LJP,3,10th Pass,10,13058612,0
CG,Raigarh,S26,2,ST,Raigarh,,425,Vishnudev Sai,BJP,0,10th Pass,10,21576220,1819686
CG,Kanker,S26,11,ST,Kanker,,264,Vikram Usendi,BJP,0,10th Pass,10,23376000,869000
DL,East Delhi,U05,3,GEN,East Delhi,,166,Mahesh Giri,BJP,1,10th Pass,10,5216375,400000
GJ,Panch Mahals,S06,18,GEN,Panchmahal,Panchmahal,399,Chauhan Prabhatsinh Pratapsinh,BJP,3,10th Pass,10,10464000,0
GJ,Anand,S06,16,GEN,Anand,,25,Patel Dilipbhai Manibhai,BJP,4,10th Pass,10,75998610,7632620
GJ,Navsari,S06,25,GEN,Navsari,,382,Patil Chandrakant Raghunath,BJP,7,10th Pass,10,744761133,405888122
GJ,Mahesana,S06,4,GEN,Mahesana,,328,Patel Jayshreeben Kanubhai,BJP,0,10th Pass,10,13278493,1814057
